,grantee,city,latitude,longitude,lat_long
0,Philadelphia Inquirer,philadelphia,39.9525839,-75.1652215,"[39.9525839, -75.1652215]"
1,Miami Herald,miami,25.7616798,-80.1917902,"[25.7616798, -80.1917902]"
2,The Dallas Morning News,dallas,32.7766642,-96.79698789999999,"[32.7766642, -96.79698789999999]"
3,Mineapolis Star Tribune,mineapolis,44.977753,-93.2650108,"[44.977753, -93.2650108]"
4,Seattle Times,seattle,47.6062095,-122.3320708,"[47.6062095, -122.3320708]"
5,Milwaukee Journal Sentinel,milwaukee,43.0389025,-87.9064736,"[43.0389025, -87.9064736]"
6,Houston Chronicle,houston,29.7604267,-95.3698028,"[29.7604267, -95.3698028]"
7,Bay Area News Group,san francisco,37.7749295,-122.4194155,"[37.7749295, -122.4194155]"
8,Philadelphia Inquirer,philadelpha,39.9525839,-75.1652215,"[39.9525839, -75.1652215]"
9,Detroit Free Press,detroit,42.331427,-83.0457538,"[42.331427, -83.0457538]"
10,Sacramento Bee,sacramento,38.5815719,-121.4943996,"[38.5815719, -121.4943996]"
11,Omaha World-Herald,omaha,41.2565369,-95.9345034,"[41.2565369, -95.9345034]"
12,Pittsburgh Post-Gazette,pittsburgh ,40.44062479999999,-79.9958864,"[40.44062479999999, -79.9958864]"
13,Los Angeles Times,los angeles,34.0522342,-118.2436849,"[34.0522342, -118.2436849]"
14,Indianapolis Star,indianapolis,39.768403,-86.158068,"[39.768403, -86.158068]"
15,Charlotte Observer,charlotte,35.2270869,-80.8431267,"[35.2270869, -80.8431267]"
16,Newsday,new york,40.7127753,-74.0059728,"[40.7127753, -74.0059728]"
17,UNC Henderson,henderson,36.0395247,-114.9817213,"[36.0395247, -114.9817213]"
18,UNC Whiteville,whiteville,34.3387802,-78.7030721,"[34.3387802, -78.7030721]"
19,UNC Charlotte,Charlotte,35.2270869,-80.8431267,"[35.2270869, -80.8431267]"
20,UNC Southern Pines,Southern Pines,35.1740471,-79.3922539,"[35.1740471, -79.3922539]"
21,UNC Durham,Durham,35.9940329,-78.898619,"[35.9940329, -78.898619]"
22,UNC Wilmington,Wilmington,34.2103894,-77.8868117,"[34.2103894, -77.8868117]"
23,UNC Research Triangle,Research Triangle,35.8991678,-78.86364019999999,"[35.8991678, -78.86364019999999]"
24,UNC Raleigh,Raleigh,35.7795897,-78.6381787,"[35.7795897, -78.6381787]"
25,LUNC ittle Rock,Little Rock,34.7464809,-92.28959479999999,"[34.7464809, -92.28959479999999]"
26,UNC Asheville,Asheville,35.5950581,-82.5514869,"[35.5950581, -82.5514869]"
27,UNC Winston-Salem,Winston-Salem,36.09985959999999,-80.244216,"[36.09985959999999, -80.244216]"
28,UNC Richmond,Richmond,37.5407246,-77.4360481,"[37.5407246, -77.4360481]"
29,UNC Savannah,Savannah,32.0808989,-81.091203,"[32.0808989, -81.091203]"
30,UNC Myrtle Beach,Myrtle Beach,33.6890603,-78.8866943,"[33.6890603, -78.8866943]"
31,UNC Charleston,Charleston,32.7764749,-79.93105120000001,"[32.7764749, -79.93105120000001]"
32,Major Metro,Philadelphia,39.9525839,-75.1652215,"[39.9525839, -75.1652215]"
33,Major Metro,Miami,25.7616798,-80.1917902,"[25.7616798, -80.1917902]"
34,Major Metro,Dallas,32.7766642,-96.79698789999999,"[32.7766642, -96.79698789999999]"
35,Major Metro,Minneapolis,44.977753,-93.2650108,"[44.977753, -93.2650108]"
36,Major Metro,Seattle,47.6062095,-122.3320708,"[47.6062095, -122.3320708]"
37,Major Metro,Milwaukee,43.0389025,-87.9064736,"[43.0389025, -87.9064736]"
38,Major Metro,Houston,29.7604267,-95.3698028,"[29.7604267, -95.3698028]"
39,Major Metro,San Jose,37.3382082,-121.8863286,"[37.3382082, -121.8863286]"
40,Major Metro,Sacramento,38.5815719,-121.4943996,"[38.5815719, -121.4943996]"
41,Major Metro,Omaha,41.2565369,-95.9345034,"[41.2565369, -95.9345034]"
42,Major Metro,Pittsburgh,40.44062479999999,-79.9958864,"[40.44062479999999, -79.9958864]"
43,Major Metro,Detroit,42.331427,-83.0457538,"[42.331427, -83.0457538]"
44,Major Metro,Los Angeles,34.0522342,-118.2436849,"[34.0522342, -118.2436849]"
45,Major Metro,Indianapolis,39.768403,-86.158068,"[39.768403, -86.158068]"
46,Major Metro,Melville,40.7934322,-73.41512139999999,"[40.7934322, -73.41512139999999]"
47,Major Metro,Charlotte,35.2270869,-80.8431267,"[35.2270869, -80.8431267]"
48,Poynter,Detroit,42.331427,-83.0457538,"[42.331427, -83.0457538]"
49,Poynter,Melville,40.7934322,-73.41512139999999,"[40.7934322, -73.41512139999999]"
50,Poynter,Philadelphia,39.9525839,-75.1652215,"[39.9525839, -75.1652215]"
51,Poynter,Anchorage,61.2180556,-149.9002778,"[61.2180556, -149.9002778]"
52,Poynter,Beaver,37.09024,-95.712891,"[37.09024, -95.712891]"
53,Poynter,Elyria,41.3683798,-82.10764859999999,"[41.3683798, -82.10764859999999]"
54,Poynter,Crystal River,28.902479,-82.59260119999999,"[28.902479, -82.59260119999999]"
55,Poynter,Louisville,38.2526647,-85.7584557,"[38.2526647, -85.7584557]"
56,Poynter,Denver,39.7392358,-104.990251,"[39.7392358, -104.990251]"
57,Poynter,Durango,37.27528,-107.8800667,"[37.27528, -107.8800667]"
58,Poynter,Lawrence,38.9716689,-95.2352501,"[38.9716689, -95.2352501]"
59,Poynter,Manchester,53.4807593,-2.2426305,"[53.4807593, -2.2426305]"
60,Poynter,Charleston,32.7764749,-79.93105120000001,"[32.7764749, -79.93105120000001]"
61,Poynter,Davenport,41.5236437,-90.5776367,"[41.5236437, -90.5776367]"
62,Poynter,Reading,51.4542645,-0.9781303,"[51.4542645, -0.9781303]"
63,Poynter,Sandusky,41.4561754,-82.71168209999999,"[41.4561754, -82.71168209999999]"
64,Poynter,Springfield,39.78172130000001,-89.6501481,"[39.78172130000001, -89.6501481]"
65,Poynter,Salem,42.51954,-70.8967155,"[42.51954, -70.8967155]"
66,Poynter,St. Petersburg,27.7676008,-82.64029149999999,"[27.7676008, -82.64029149999999]"
67,Poynter,Tyler,32.3512601,-95.30106239999999,"[32.3512601, -95.30106239999999]"
68,Poynter,Norfolk,36.8507689,-76.28587259999999,"[36.8507689, -76.28587259999999]"
69,Poynter,Buffalo,42.88644679999999,-78.8783689,"[42.88644679999999, -78.8783689]"
70,Poynter,New London,41.3556539,-72.0995209,"[41.3556539, -72.0995209]"
71,Poynter,El Paso,31.7618778,-106.4850217,"[31.7618778, -106.4850217]"
72,Poynter,Fort Collins,40.5852602,-105.084423,"[40.5852602, -105.084423]"
73,Poynter,Fargo,0.0,0.0,"[0.0, 0.0]"
74,Poynter,Greeley,40.4233142,-104.7091322,"[40.4233142, -104.7091322]"
75,Poynter,Columbia,37.09024,-95.712891,"[37.09024, -95.712891]"
76,Poynter,Kansas City,39.0997265,-94.5785667,"[39.0997265, -94.5785667]"
77,Poynter,Pasadena,34.1477849,-118.1445155,"[34.1477849, -118.1445155]"
78,Poynter,Washington,47.7510741,-120.7401385,"[47.7510741, -120.7401385]"
79,Poynter,Harrisburg,40.2731911,-76.8867008,"[40.2731911, -76.8867008]"
80,Poynter,Tampa,27.950575,-82.4571776,"[27.950575, -82.4571776]"
81,Gannett-McClatchy,Wilmington,34.2103894,-77.8868117,"[34.2103894, -77.8868117]"
82,Gannett-McClatchy,Westchester County,41.1220194,-73.7948516,"[41.1220194, -73.7948516]"
83,Gannett-McClatchy,Louisville,38.2526647,-85.7584557,"[38.2526647, -85.7584557]"
84,Gannett-McClatchy,Rochester,43.15657789999999,-77.6088465,"[43.15657789999999, -77.6088465]"
85,Gannett-McClatchy,Asbury Park,40.2203907,-74.0120817,"[40.2203907, -74.0120817]"
86,Gannett-McClatchy,Bergen County,40.9262762,-74.07701,"[40.9262762, -74.07701]"
87,Gannett-McClatchy,Phoenix,33.4483771,-112.0740373,"[33.4483771, -112.0740373]"
88,Gannett-McClatchy,Cincinnati,39.1031182,-84.5120196,"[39.1031182, -84.5120196]"
89,Gannett-McClatchy,Lexington,38.0405837,-84.5037164,"[38.0405837, -84.5037164]"
90,Gannett-McClatchy,Fort Worth,32.7554883,-97.3307658,"[32.7554883, -97.3307658]"
91,Gannett-McClatchy,Miami,25.7616798,-80.1917902,"[25.7616798, -80.1917902]"
92,Gannett-McClatchy,Sacramento,38.5815719,-121.4943996,"[38.5815719, -121.4943996]"
93,Gannett-McClatchy,Columbia,37.09024,-95.712891,"[37.09024, -95.712891]"
94,Gannett-McClatchy,Raleigh,35.7795897,-78.6381787,"[35.7795897, -78.6381787]"
95,Gannett-McClatchy,Washington,47.7510741,-120.7401385,"[47.7510741, -120.7401385]"
96,Gannett-McClatchy,Kansas City,39.0997265,-94.5785667,"[39.0997265, -94.5785667]"
97,ASU,new york,40.7127753,-74.0059728,"[40.7127753, -74.0059728]"
98,ASU,san antonio,29.4241219,-98.49362819999999,"[29.4241219, -98.49362819999999]"
99,ASU,Columbia,37.09024,-95.712891,"[37.09024, -95.712891]"
100,ASU,spokane,47.6587802,-117.4260465,"[47.6587802, -117.4260465]"
101,ASU,birmingham,33.5185892,-86.8103567,"[33.5185892, -86.8103567]"
102,ASU,lake charles,30.2265949,-93.2173758,"[30.2265949, -93.2173758]"
103,ASU,chicago,41.8781136,-87.6297982,"[41.8781136, -87.6297982]"
104,ASU,san diego,32.715738,-117.1610838,"[32.715738, -117.1610838]"
105,ASU,pheonix,33.4483771,-112.0740373,"[33.4483771, -112.0740373]"
106,ASU,los angeles,34.0522342,-118.2436849,"[34.0522342, -118.2436849]"
107,,,33.791638,-84.389488,"[33.791638, -84.389488]"
108,,,33.791638,-84.389488,"[33.791638, -84.389488]"
109,,,33.791638,-84.389488,"[33.791638, -84.389488]"
110,,,33.791638,-84.389488,"[33.791638, -84.389488]"
111,,,33.791638,-84.389488,"[33.791638, -84.389488]"
112,,,33.791638,-84.389488,"[33.791638, -84.389488]"
113,,,33.791638,-84.389488,"[33.791638, -84.389488]"
114,,,33.791638,-84.389488,"[33.791638, -84.389488]"
115,,,33.791638,-84.389488,"[33.791638, -84.389488]"
116,,,33.791638,-84.389488,"[33.791638, -84.389488]"
117,,,33.791638,-84.389488,"[33.791638, -84.389488]"
118,,,33.791638,-84.389488,"[33.791638, -84.389488]"
119,,,33.791638,-84.389488,"[33.791638, -84.389488]"
120,,,33.791638,-84.389488,"[33.791638, -84.389488]"
121,,,33.791638,-84.389488,"[33.791638, -84.389488]"
122,,,33.791638,-84.389488,"[33.791638, -84.389488]"
123,,,33.791638,-84.389488,"[33.791638, -84.389488]"
124,,,33.791638,-84.389488,"[33.791638, -84.389488]"
125,,,33.791638,-84.389488,"[33.791638, -84.389488]"
126,,,33.791638,-84.389488,"[33.791638, -84.389488]"
127,,,33.791638,-84.389488,"[33.791638, -84.389488]"
128,,,33.791638,-84.389488,"[33.791638, -84.389488]"
129,,,33.791638,-84.389488,"[33.791638, -84.389488]"
130,,,33.791638,-84.389488,"[33.791638, -84.389488]"
131,,,33.791638,-84.389488,"[33.791638, -84.389488]"
132,,,33.791638,-84.389488,"[33.791638, -84.389488]"
133,,,33.791638,-84.389488,"[33.791638, -84.389488]"
134,,,33.791638,-84.389488,"[33.791638, -84.389488]"
135,,,33.791638,-84.389488,"[33.791638, -84.389488]"
136,,,33.791638,-84.389488,"[33.791638, -84.389488]"
137,,,33.791638,-84.389488,"[33.791638, -84.389488]"
138,,,33.791638,-84.389488,"[33.791638, -84.389488]"
139,,,33.791638,-84.389488,"[33.791638, -84.389488]"
140,,,33.791638,-84.389488,"[33.791638, -84.389488]"
141,,,33.791638,-84.389488,"[33.791638, -84.389488]"
142,,,33.791638,-84.389488,"[33.791638, -84.389488]"
143,,,33.791638,-84.389488,"[33.791638, -84.389488]"
144,,,33.791638,-84.389488,"[33.791638, -84.389488]"
145,,,33.791638,-84.389488,"[33.791638, -84.389488]"
146,,,33.791638,-84.389488,"[33.791638, -84.389488]"
147,,,33.791638,-84.389488,"[33.791638, -84.389488]"
148,,,33.791638,-84.389488,"[33.791638, -84.389488]"
149,,,33.791638,-84.389488,"[33.791638, -84.389488]"
150,,,33.791638,-84.389488,"[33.791638, -84.389488]"
151,,,33.791638,-84.389488,"[33.791638, -84.389488]"
152,,,33.791638,-84.389488,"[33.791638, -84.389488]"
153,,,33.791638,-84.389488,"[33.791638, -84.389488]"
154,,,33.791638,-84.389488,"[33.791638, -84.389488]"
155,,,33.791638,-84.389488,"[33.791638, -84.389488]"
156,,,33.791638,-84.389488,"[33.791638, -84.389488]"
157,,,33.791638,-84.389488,"[33.791638, -84.389488]"
158,,,33.791638,-84.389488,"[33.791638, -84.389488]"
159,,,33.791638,-84.389488,"[33.791638, -84.389488]"
160,,,33.791638,-84.389488,"[33.791638, -84.389488]"
161,,,33.791638,-84.389488,"[33.791638, -84.389488]"
162,,,33.791638,-84.389488,"[33.791638, -84.389488]"
163,,,33.791638,-84.389488,"[33.791638, -84.389488]"
164,,,33.791638,-84.389488,"[33.791638, -84.389488]"
165,,,33.791638,-84.389488,"[33.791638, -84.389488]"
166,,,33.791638,-84.389488,"[33.791638, -84.389488]"
167,,,33.791638,-84.389488,"[33.791638, -84.389488]"
168,,,33.791638,-84.389488,"[33.791638, -84.389488]"
169,,,33.791638,-84.389488,"[33.791638, -84.389488]"
170,,,33.791638,-84.389488,"[33.791638, -84.389488]"
171,,,33.791638,-84.389488,"[33.791638, -84.389488]"
172,,,33.791638,-84.389488,"[33.791638, -84.389488]"
173,,,33.791638,-84.389488,"[33.791638, -84.389488]"
174,,,33.791638,-84.389488,"[33.791638, -84.389488]"
175,,,33.791638,-84.389488,"[33.791638, -84.389488]"
